groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
A;8;14;12;13;12;13;9;6;6;7
A;8;12;16;13;16;8;12;3;7;5
A;8;2;9;8;10;16;12;13;15;7
A;12;15;16;14;8;9;9;9;3;5
A;11;13;19;14;11;9;6;8;5;4
A;3;3;6;12;17;12;15;16;9;7
A;6;18;12;12;18;12;10;5;3;4
B;9;10;13;10;16;13;9;9;9;2
B;8;11;13;11;11;13;9;15;3;6
A;9;9;18;13;7;13;12;8;7;4
B;11;6;14;5;10;20;14;8;5;7
A;10;12;12;13;13;9;9;15;4;3
A;10;22;3;16;13;12;12;8;1;3
A;15;6;10;16;18;13;9;7;3;3
A;5;1;8;11;13;9;16;11;15;11
A;7;4;11;11;11;16;11;8;12;9
B;9;11;14;11;11;9;13;15;4;3
A;10;10;16;13;17;4;9;7;8;6
A;17;14;9;9;15;13;4;6;6;7
A;6;3;14;10;9;12;10;14;12;10
A;3;9;7;9;6;16;8;13;17;12
A;4;4;6;7;15;8;16;16;10;14
B;16;12;9;6;10;11;12;12;10;2
B;5;13;12;10;15;12;9;10;4;10
A;9;8;8;7;11;14;13;12;6;12
A;17;16;13;14;6;8;5;9;9;3
A;8;2;6;8;17;18;9;12;15;5
B;4;13;10;14;14;11;11;9;6;8
B;7;9;7;17;10;11;14;13;7;5
A;6;8;13;10;6;15;12;9;13;8
B;10;8;10;10;13;7;16;9;9;8
B;13;8;9;12;11;14;9;13;8;3
A;11;10;18;14;13;8;8;7;6;5
A;3;3;15;9;11;11;6;21;13;8
A;12;11;10;13;15;8;12;5;7;7
A;19;16;7;17;15;5;6;4;8;3
A;14;22;7;9;18;7;6;4;7;6
A;18;9;10;11;8;7;12;12;5;8
B;6;10;12;11;7;18;13;12;7;4
A;4;6;11;8;12;9;15;12;16;7
B;8;9;9;14;10;12;12;7;10;9
A;4;9;5;12;13;12;8;13;16;8
B;6;14;10;16;12;10;9;12;7;4
A;1;5;8;13;9;6;16;15;20;7
A;8;6;4;9;11;16;15;11;14;6
A;9;11;10;12;12;7;7;11;12;9
A;7;3;10;9;17;12;11;9;11;11
A;11;8;11;12;15;19;11;5;5;3
A;5;4;14;9;8;12;9;19;10;10
B;6;14;14;16;14;9;6;10;9;2
B;8;8;11;18;9;15;9;8;8;6
B;12;8;12;13;14;7;15;10;2;7
A;10;16;13;18;12;11;2;7;7;4
B;6;12;7;13;9;13;13;11;14;2
B;11;12;4;7;15;13;10;9;9;10
A;6;6;8;10;8;8;11;13;21;9
B;8;4;12;11;13;9;16;15;8;4
A;8;9;5;8;14;12;13;12;9;10
A;4;7;9;8;14;11;11;13;12;11
B;8;7;8;13;17;10;8;9;10;10
A;11;8;10;11;2;10;11;8;14;15
A;4;7;10;12;13;8;16;9;13;8
B;7;8;14;15;11;9;13;8;7;8
A;5;5;5;14;7;10;15;14;12;13
A;7;6;6;11;16;11;14;7;13;9
A;11;6;15;7;8;13;11;9;14;6
A;8;9;7;7;10;16;8;13;11;11
A;6;8;14;9;10;11;15;5;13;9
A;5;9;11;13;9;10;14;12;8;9
B;9;4;14;16;21;11;7;5;9;4
A;5;3;8;13;15;11;12;13;13;7
B;11;10;8;10;15;8;13;13;8;4
B;8;11;11;12;12;13;13;10;7;3
A;2;11;6;10;10;19;10;16;8;8
A;3;9;10;12;10;18;15;6;6;11
A;11;13;18;9;16;7;8;6;8;4
A;13;20;15;9;9;15;4;5;5;5
B;7;10;5;6;13;12;15;12;10;10
A;5;7;8;8;11;14;13;12;12;10
A;17;11;16;15;11;12;7;5;2;4
A;4;13;7;8;10;16;16;8;12;6
B;8;11;11;11;15;7;9;11;9;8
A;22;11;10;13;11;11;10;3;4;5
A;13;21;14;18;8;6;9;4;5;2
A;10;12;17;14;12;9;6;3;11;6
A;3;8;8;11;10;9;18;8;16;9
A;11;2;10;6;11;13;10;12;17;8
B;6;9;9;11;14;12;9;13;11;6
A;16;10;9;18;6;19;4;9;7;2
B;11;15;6;9;14;13;9;7;9;7
A;3;10;9;10;12;9;15;13;8;11
B;5;17;10;16;10;10;8;11;6;7
B;7;11;12;14;7;14;13;7;8;7
A;5;5;9;9;13;11;15;10;13;10
B;5;9;6;9;19;12;12;13;8;7
A;2;10;9;10;14;18;8;10;12;7
A;7;9;6;9;9;12;12;18;8;10
B;11;13;8;17;10;12;16;8;4;1
A;12;16;16;15;11;8;8;8;5;1
A;8;6;6;13;8;10;13;12;15;9
A;3;5;15;7;11;14;12;9;19;5
B;10;15;5;14;11;17;6;11;7;4
A;3;5;12;9;16;9;14;12;13;7
A;2;6;10;11;15;10;13;16;6;11
B;7;9;11;14;14;17;10;9;3;6
A;5;6;8;16;15;8;10;15;10;7
A;17;15;11;22;8;8;3;6;7;3
A;5;9;7;12;12;10;11;13;13;8
A;6;4;7;10;8;19;17;8;13;8
A;4;3;11;15;14;11;6;16;9;11
A;13;10;7;13;9;15;12;9;5;7
A;9;15;10;9;12;16;8;8;7;6
A;9;10;19;16;13;9;8;9;4;3
A;11;18;14;9;8;9;9;10;8;4
A;15;15;10;13;9;15;9;7;5;2
A;8;19;15;9;13;11;6;7;8;4
A;5;10;15;16;13;10;8;8;7;8
A;5;6;8;9;8;11;13;15;14;11
A;20;10;12;17;12;11;5;5;4;4
A;15;11;9;14;6;16;11;6;8;4
A;20;8;8;13;15;7;10;11;5;3
A;13;13;14;14;13;12;11;5;2;3
A;3;9;9;10;13;12;15;11;11;7
B;7;9;13;17;10;12;8;6;13;5
A;4;4;9;11;13;12;17;15;10;5
B;5;11;16;17;10;7;13;6;11;4
A;3;4;11;13;8;10;8;17;15;11
B;6;13;14;18;6;9;11;11;9;3
B;9;12;10;7;15;13;8;11;7;8
A;12;13;11;8;18;13;7;9;5;4
A;7;9;3;12;10;13;15;8;10;13
B;9;10;11;10;21;7;10;10;6;6
A;5;7;10;7;12;12;17;12;10;8
B;6;9;10;11;18;15;8;11;7;5
B;5;10;12;15;13;10;16;8;8;3
B;8;9;14;12;17;6;10;10;7;7
A;21;4;7;15;16;12;11;9;4;1
A;1;5;6;10;11;11;14;13;9;20
A;3;4;5;11;12;12;15;14;13;11
A;17;12;12;15;12;9;5;8;7;3
A;14;11;13;16;13;9;12;6;3;3
B;8;10;10;16;10;12;12;10;9;3
A;2;9;4;14;15;13;5;18;7;13
B;8;11;14;16;12;9;9;7;9;5
B;7;6;14;9;11;17;11;11;10;4
B;7;9;12;16;9;9;11;7;9;11
A;5;7;4;16;13;13;15;13;9;5
B;6;12;13;6;9;15;11;4;16;8
B;12;12;8;11;10;20;5;10;2;10
B;12;7;9;14;8;10;18;7;8;7
B;13;11;11;11;8;12;9;5;9;11
B;8;10;11;10;13;15;14;8;7;4
A;16;14;16;13;14;6;8;5;7;1
B;9;6;9;17;17;11;11;8;5;7
A;14;8;11;16;15;9;8;9;5;5
B;8;7;10;9;15;8;15;11;7;10
A;15;12;12;14;10;13;12;5;4;3
A;4;9;10;8;12;12;12;11;15;7
A;11;2;6;7;11;14;8;17;13;11
B;5;15;11;10;15;14;9;10;7;4
A;10;11;13;16;15;13;10;3;6;3
A;19;7;17;16;10;11;8;4;4;4
B;8;14;11;16;7;11;9;9;9;6
A;11;14;12;15;11;12;9;5;7;4
A;3;0;11;11;11;15;18;6;14;11
B;14;12;12;14;6;10;9;7;6;10
A;3;4;7;14;15;11;16;12;11;7
A;10;15;13;15;12;10;10;5;7;3
A;9;18;12;16;9;11;7;7;5;6
A;4;6;7;12;11;12;5;13;19;11
B;10;9;10;8;14;9;11;13;11;5
A;3;5;10;9;13;8;11;14;19;8
A;14;7;14;22;7;9;8;9;7;3
A;8;15;19;10;9;11;7;6;6;9
A;3;9;11;7;15;13;10;15;11;6
A;14;7;15;14;6;7;11;9;9;8
A;8;14;20;12;11;10;9;9;3;4
B;5;9;4;12;13;9;12;16;8;12
B;7;7;16;11;20;7;9;9;8;6
B;7;9;15;11;14;6;13;16;6;3
B;12;3;11;18;10;19;9;7;6;5
B;8;7;12;12;10;19;9;10;7;6
A;7;7;10;7;17;8;10;12;11;11
A;11;12;6;14;12;12;12;13;5;3
A;6;7;5;14;11;10;16;8;10;13
A;7;6;11;5;9;17;8;19;8;10
A;5;6;8;13;13;13;13;9;7;13
A;17;14;11;16;11;8;10;8;5;0
A;13;16;9;10;17;6;9;10;8;2
B;9;8;17;13;13;6;12;8;10;4
A;10;11;12;13;17;11;4;11;9;2
B;13;14;8;15;11;8;11;7;6;7
B;9;12;12;10;10;17;16;6;4;4
A;3;7;12;10;8;13;11;10;16;10
A;4;5;8;8;7;18;16;12;12;10
B;8;4;10;14;15;14;15;7;11;2
B;12;11;13;15;7;8;10;7;11;6
B;10;9;10;15;8;15;6;13;13;1
A;5;7;7;9;22;8;11;11;15;5
A;5;7;12;12;12;15;13;10;9;5
B;6;10;7;18;13;11;6;14;8;7
A;14;19;15;7;14;11;6;4;6;4
A;5;4;4;9;6;13;15;13;12;19
A;3;6;7;5;13;16;11;15;12;12
B;8;10;11;15;12;17;4;7;7;9
B;8;6;9;15;13;15;10;6;11;7
A;7;8;9;6;8;12;7;16;11;16
A;5;6;11;10;15;9;13;12;8;11
A;3;8;7;9;12;12;10;21;9;9
A;7;5;7;7;15;11;15;9;12;12
B;7;8;12;18;11;13;8;10;7;6
B;9;16;12;11;11;5;14;9;6;7
A;10;21;13;10;8;9;10;8;3;8
A;3;5;10;9;11;13;12;18;11;8
A;4;6;9;6;17;15;10;17;9;7
A;11;11;12;8;16;14;11;5;8;4
A;15;13;9;9;14;15;7;8;9;1
A;12;11;17;18;10;13;8;4;5;2
A;5;11;16;13;14;15;10;7;4;5
A;10;14;12;15;11;14;6;6;5;7
A;11;14;13;9;18;7;14;3;6;5
B;7;7;12;15;16;13;8;9;4;9
B;8;10;18;14;9;10;10;7;8;6
A;3;8;6;2;17;16;8;15;13;12
A;10;7;15;6;8;11;12;12;12;7
B;9;8;12;13;15;8;12;10;11;2
B;10;7;9;19;13;11;9;9;6;7
B;11;8;12;10;7;13;16;5;8;10
A;4;7;9;13;11;11;14;13;8;10
A;15;18;10;6;11;7;11;7;7;8
A;9;15;12;12;16;10;10;2;11;3
B;5;10;13;9;13;9;14;11;11;5
B;9;11;11;12;16;10;7;6;9;9
B;9;11;3;13;13;17;15;8;8;3
A;7;2;7;12;11;17;12;15;11;6
B;9;15;9;10;5;9;14;16;4;9
A;5;4;14;8;13;10;13;11;16;6
A;11;17;12;15;8;13;16;5;1;2
A;17;14;9;13;14;9;8;5;6;5
A;5;3;5;10;12;19;17;11;10;8
B;6;11;12;9;15;10;8;17;4;8
A;14;12;10;4;18;16;9;10;3;4
B;16;9;11;12;15;15;7;6;6;3
A;4;7;7;9;14;14;17;10;9;9
A;2;5;4;14;15;13;14;11;12;10
A;5;10;12;4;10;13;11;6;17;12
A;4;7;12;10;11;13;15;13;6;9
B;7;8;11;15;14;12;12;8;7;6
A;5;11;5;7;10;12;13;7;15;15
B;7;9;13;13;13;15;12;5;7;6
B;8;12;12;12;10;6;10;16;5;9
B;6;10;5;9;12;14;14;13;12;5
A;17;10;6;13;13;12;9;8;7;5
A;4;6;6;10;9;20;10;15;8;12
A;3;8;6;10;12;14;8;21;13;5
A;13;13;12;12;17;10;4;11;3;5
A;13;12;23;14;9;13;6;2;3;5
A;8;6;8;11;12;9;12;12;12;10
B;8;12;10;12;13;11;9;11;10;4
A;3;7;7;7;15;16;15;14;8;8
A;2;5;6;7;14;13;16;8;18;11
B;8;9;5;9;8;16;13;14;8;10
A;11;16;12;12;13;9;12;5;3;7
B;10;9;10;11;14;14;13;7;5;7
B;10;12;13;16;8;14;9;9;5;4
B;7;9;11;8;12;10;13;20;3;7
A;7;10;14;5;15;9;8;10;11;11
A;13;8;17;17;10;12;9;7;5;2
B;7;7;12;13;13;12;7;9;11;9
B;7;8;9;15;13;12;12;11;8;5
B;11;7;10;13;9;9;11;11;10;9
A;15;16;7;19;14;2;12;3;3;9
A;3;4;14;9;8;16;18;12;9;7
A;12;12;18;18;8;13;6;3;6;4
A;10;14;17;11;13;9;8;3;12;3
A;2;10;10;9;9;18;15;1;19;7
B;7;9;15;8;7;9;15;11;11;8
A;13;12;14;9;17;10;3;13;8;1
B;9;13;14;8;13;8;10;12;4;9
A;5;21;14;12;11;5;14;8;4;6
B;3;12;12;14;14;10;10;10;10;5
B;7;9;9;11;9;15;10;14;7;9
B;7;9;10;12;18;16;7;4;8;9
A;10;5;9;5;14;11;13;15;6;12
A;11;19;15;15;15;4;4;8;4;5
A;5;6;11;12;9;14;13;11;10;9
A;6;11;3;5;11;18;15;13;10;8
B;14;9;11;10;11;9;9;11;7;9
A;12;15;9;15;18;14;6;3;3;5
B;9;7;11;14;13;14;7;7;14;4
B;9;5;7;17;15;10;12;7;11;7
B;14;9;13;9;10;12;7;12;7;7
A;9;13;17;14;15;8;8;6;4;6
A;13;7;19;16;12;10;11;5;2;5
A;5;3;8;8;14;12;18;6;11;15
B;9;5;8;10;15;9;11;11;14;8
A;19;12;13;10;15;6;9;5;8;3
A;8;5;8;13;14;7;12;16;8;9
A;2;7;6;5;18;12;15;21;7;7
A;15;14;15;13;11;10;10;7;3;2
B;9;8;13;11;7;15;11;10;13;3
B;8;13;14;15;12;8;10;7;7;6
A;13;16;9;13;7;11;16;6;6;3
A;7;19;12;12;7;12;10;13;5;3
B;8;11;7;13;12;11;13;12;6;7
A;11;11;17;12;13;11;5;9;4;7
A;5;6;10;6;11;13;10;15;12;12
A;9;5;7;12;9;11;11;18;7;11
A;9;18;10;13;13;13;7;8;4;5
B;8;13;8;11;11;10;15;12;3;9
A;0;5;7;10;13;15;15;14;11;10
A;8;19;6;10;11;14;14;7;4;7
A;12;12;12;15;14;14;6;8;4;3
A;15;11;6;11;13;16;6;9;8;5
A;16;8;18;12;8;13;8;6;6;5
A;10;7;14;10;19;7;9;14;5;5
B;12;11;11;16;12;13;11;5;7;2
A;8;11;13;16;11;11;9;9;8;4
B;8;8;6;9;19;13;15;11;8;3
A;8;6;9;10;9;13;6;9;22;8
A;14;15;12;7;13;14;10;5;6;4
A;9;14;12;8;18;10;13;6;7;3
A;14;13;7;20;8;3;11;11;9;4
A;8;6;9;10;14;8;14;10;7;14
A;4;5;9;10;7;15;9;16;19;6
A;15;11;14;19;11;9;8;7;6;0
B;5;6;15;15;12;10;12;12;8;5
A;14;11;11;13;14;11;9;8;3;6
A;8;10;8;7;12;15;13;12;4;11
A;11;11;14;18;11;7;6;10;7;5
A;5;6;3;18;12;9;11;13;12;11
B;9;10;7;13;13;10;10;7;13;8
A;14;7;12;21;14;7;12;9;2;2
B;5;8;11;12;15;13;10;8;14;4
B;4;6;8;16;18;9;16;10;8;5
B;10;9;11;13;3;14;14;9;12;5
B;7;7;15;11;11;8;12;13;8;8
A;7;14;14;7;15;13;10;9;8;3
B;6;11;5;9;14;20;10;4;10;11
A;15;13;20;8;16;7;9;5;6;1
A;11;10;16;13;8;14;11;7;8;2
A;7;3;12;2;14;10;17;12;14;9
A;1;7;12;6;12;12;14;16;9;11
B;12;12;12;10;9;11;11;8;8;7
A;8;15;21;14;6;10;6;9;7;4
B;12;8;10;14;11;13;11;6;6;9
A;6;7;9;9;11;14;11;13;12;8
A;3;7;11;13;13;7;12;12;14;8
B;7;6;9;9;16;16;14;12;6;5
A;17;14;15;13;11;12;8;4;3;3
A;6;10;14;8;10;11;6;11;13;11
A;7;8;5;5;15;20;11;11;11;7
A;3;8;13;8;14;10;12;16;9;7
A;5;8;12;8;10;13;12;17;8;7
B;12;11;17;11;13;9;10;6;4;7
B;7;9;18;11;11;16;9;7;5;7
A;5;7;7;11;14;15;12;12;12;5
A;4;8;7;14;14;7;13;11;9;13
A;2;4;11;7;7;14;12;14;11;18
B;6;15;12;10;14;11;17;5;6;4
B;9;6;7;15;10;17;10;12;6;8
A;7;9;6;5;14;13;14;15;8;9
A;4;7;14;6;12;9;19;14;6;9
B;8;15;14;19;3;16;9;8;3;5
B;10;7;13;10;12;8;15;12;8;5
B;8;10;18;9;8;6;11;8;12;10
A;14;15;7;12;9;11;10;8;8;6
A;14;12;12;17;8;9;12;3;7;6
A;4;6;6;11;12;12;15;14;8;12
B;6;7;12;11;14;17;14;5;5;9
B;14;6;13;10;16;9;9;6;6;11
B;14;6;11;7;10;18;12;10;8;4
B;1;16;8;16;8;8;17;10;11;5
A;5;3;11;12;13;13;14;11;12;6
A;12;12;16;13;8;12;11;6;8;2
A;14;18;16;11;10;6;9;5;7;4
B;7;9;12;13;11;10;14;8;11;5
B;6;10;13;15;10;11;10;10;11;4
A;14;12;11;14;9;12;10;10;6;2
B;7;7;8;11;13;10;10;14;13;7
A;10;8;13;10;10;7;15;10;10;7
B;4;8;15;11;14;10;16;7;7;8
A;13;7;16;9;7;13;11;9;9;6
A;5;7;10;10;11;17;8;9;12;11
B;8;11;13;11;14;15;8;7;8;5
A;9;14;15;13;14;9;9;4;6;7
B;8;5;11;6;17;13;13;13;7;7
B;11;7;8;13;10;9;10;13;12;7
A;10;15;11;15;12;10;6;7;7;7
B;9;8;6;12;11;13;13;8;11;9
A;17;14;14;10;7;14;7;8;4;5
B;6;10;14;8;12;17;11;9;6;7
A;9;17;12;12;15;14;9;3;7;2
A;6;7;11;3;12;15;8;18;11;9
A;9;4;9;9;14;11;10;14;12;8
B;8;15;15;7;11;12;9;9;6;8
B;6;7;8;13;12;15;11;11;8;9
B;7;10;6;15;11;11;15;6;11;8
A;7;7;10;8;13;12;12;16;8;7
A;10;7;9;7;7;12;13;10;17;8
B;6;7;13;9;8;13;16;9;14;5
A;10;11;10;16;17;13;8;6;4;5
A;9;10;11;17;17;11;7;10;7;1
A;9;12;16;14;13;13;3;11;3;6
A;2;9;9;7;9;9;9;13;17;16
A;2;7;8;12;15;11;8;10;14;13
B;7;8;12;11;11;9;19;12;6;5
B;8;14;11;11;3;12;14;3;14;10
A;12;13;15;13;13;7;6;10;6;5
A;5;9;10;10;11;15;16;6;10;8
A;13;16;15;8;9;11;6;10;7;5
A;14;10;11;8;12;18;8;7;7;5
A;6;5;11;11;11;6;13;10;12;15
A;14;10;15;14;8;19;9;3;6;2
A;9;8;10;13;9;10;14;6;9;12
B;11;10;10;8;15;8;14;8;11;5
A;5;4;11;12;14;11;10;9;11;13
A;20;14;14;10;7;8;10;9;7;1
A;12;19;15;12;9;10;7;7;5;4
A;3;6;12;12;12;9;12;10;9;15
B;9;8;13;12;9;13;11;8;11;6
B;12;8;16;14;6;14;7;11;6;6
A;2;10;9;9;10;14;13;11;12;10
A;10;12;15;12;17;11;13;5;2;3
B;6;9;14;9;9;20;8;8;10;7
A;6;5;4;10;3;16;13;12;17;14
A;4;5;9;13;12;8;15;15;12;7
A;13;13;13;9;11;14;7;8;7;5
A;6;5;5;5;14;18;14;12;15;6
A;13;6;16;8;10;13;14;10;5;5
B;11;7;13;12;8;20;12;8;5;4
A;6;11;6;14;6;15;14;8;11;9
A;9;20;9;16;14;10;8;4;8;2
B;7;8;13;18;17;11;10;11;3;2
A;4;6;15;8;14;10;11;10;10;12
A;18;11;14;11;11;10;8;9;4;4
A;7;11;19;15;12;16;8;4;4;4
A;12;18;10;16;10;12;7;2;7;6
A;6;2;10;11;20;12;12;8;10;9
A;12;6;15;19;10;10;8;12;4;4
B;11;6;14;12;18;7;11;10;7;4
A;10;14;21;6;12;11;5;12;3;6
A;10;12;21;10;14;6;8;7;6;6
A;8;19;7;10;18;8;15;5;6;4
B;4;10;14;18;8;10;12;11;8;5
A;8;4;10;10;8;12;14;8;15;11
A;13;13;14;9;7;11;12;7;7;7
A;20;8;8;16;11;10;11;6;7;3
B;9;13;12;11;10;15;7;9;6;8
A;6;5;11;10;12;9;9;8;14;16
B;7;7;8;16;14;14;12;6;8;8
B;8;13;8;8;12;10;13;10;11;7
A;5;1;6;9;12;8;18;22;7;12
A;11;12;16;9;8;15;11;7;7;4
A;7;10;11;11;9;11;10;14;8;9
A;13;14;13;15;11;12;7;3;10;2
A;8;22;12;13;15;7;10;10;1;2
A;15;11;12;13;14;9;9;4;5;8
A;5;7;8;8;15;11;7;11;13;15
A;3;8;10;8;6;13;16;12;14;10
A;5;8;3;5;8;17;18;12;10;14
A;17;13;15;14;12;9;8;5;4;3
A;7;8;8;7;13;11;13;15;10;8
A;6;12;13;10;9;8;15;6;10;11
A;6;9;8;23;16;7;10;8;12;1
A;12;10;14;9;8;13;12;10;5;7
A;14;12;8;14;15;8;11;7;7;4
B;11;6;10;12;14;14;8;9;9;7
B;9;6;11;17;16;7;7;12;7;8
A;15;15;12;10;12;5;11;11;4;5
A;2;4;17;13;9;8;17;10;14;6
A;17;15;11;6;16;9;5;10;5;6
A;12;22;13;13;13;11;5;7;2;2
A;5;12;8;6;19;9;13;12;8;8
B;8;13;6;11;19;5;10;12;8;8
A;17;9;20;8;7;12;6;5;9;7
B;9;3;12;18;14;12;11;9;5;7
A;1;5;9;6;15;12;16;10;15;11
A;14;12;11;11;18;11;9;3;6;5
A;19;14;13;11;8;10;11;5;5;4
A;5;7;10;12;12;9;14;12;10;9
B;11;7;11;13;12;10;9;9;10;8
A;4;3;11;9;13;14;16;18;5;7
B;3;15;11;19;17;15;4;3;11;2
A;3;5;10;11;11;14;5;12;15;14
A;11;12;15;12;16;8;10;6;7;3
A;17;10;14;6;15;11;11;7;3;6
A;8;15;14;21;11;10;9;4;3;5
A;7;3;6;16;12;13;10;13;15;5
A;6;4;8;10;17;10;13;15;10;7
A;4;17;14;10;10;14;11;6;8;6
B;6;7;10;13;14;13;13;11;5;8
A;4;7;9;9;12;13;13;8;13;12
A;5;12;9;9;10;20;16;9;6;4
A;6;9;6;11;13;14;15;9;10;7
A;15;14;16;13;12;6;11;7;1;5
B;11;10;15;11;13;11;8;8;6;7
A;5;8;7;6;19;9;10;17;7;12
A;2;6;14;9;18;17;8;6;12;8
A;11;15;18;14;16;6;7;4;3;6
B;11;12;5;11;14;12;13;9;8;5
A;7;4;8;5;11;16;20;8;15;6
A;3;4;9;11;15;13;11;11;12;11
A;6;15;15;15;12;10;8;7;9;3
B;7;5;8;15;12;11;11;15;10;6
A;15;11;18;9;13;2;12;7;6;7
A;3;7;8;11;12;10;15;13;11;10
B;3;15;13;12;16;9;14;5;7;6
B;9;9;6;9;18;10;14;14;8;3
B;5;4;6;14;15;13;13;8;14;8
A;4;13;2;8;11;10;11;12;16;13
B;5;12;11;10;8;13;10;14;7;10
A;4;9;6;10;11;9;16;17;12;6
A;5;9;5;8;10;22;11;8;8;14
B;8;9;10;14;9;10;14;11;9;6
A;11;7;14;18;10;17;5;6;7;5
A;11;13;16;9;12;6;9;13;8;3
A;14;13;8;18;8;12;12;7;3;5
A;7;9;9;9;7;14;12;13;11;9
B;9;16;13;8;12;10;13;6;9;4
B;7;13;6;11;7;11;14;14;10;7
B;9;8;14;11;7;12;13;12;11;3
A;12;20;12;10;10;13;4;8;5;6
B;7;11;14;10;9;13;12;7;10;7
B;6;6;9;11;16;13;14;11;10;4
B;11;12;13;7;6;18;13;10;5;5
B;6;7;11;10;7;18;13;12;11;5
A;14;11;12;15;15;4;7;10;8;4
A;16;16;8;12;14;9;11;7;6;1
A;11;9;9;15;17;13;7;7;6;6
A;1;6;1;25;10;16;11;9;13;8
A;5;6;6;15;12;13;13;5;13;12
B;13;9;8;18;11;14;10;7;3;7
A;4;5;5;10;19;17;8;9;13;10
A;10;13;13;13;18;11;8;4;8;2
A;11;12;13;16;15;9;10;5;7;2
A;15;12;14;13;8;10;10;12;4;2
B;4;16;9;12;9;16;9;7;8;10
B;7;17;8;12;9;11;12;11;7;6
A;1;8;10;11;14;10;13;10;16;7
A;2;9;14;6;14;13;14;14;9;5
A;5;5;7;14;13;8;13;11;13;11
A;4;6;6;14;8;15;15;17;5;10
A;15;11;12;12;8;14;4;7;8;9
