groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
C;3;10;11;9;11;10;10;16;13;7
A;17;16;17;15;14;14;1;3;1;2
B;9;5;13;14;13;16;11;5;9;5
C;3;6;4;11;12;10;17;15;14;8
C;2;5;4;9;13;18;16;11;11;11
C;1;7;9;10;12;11;20;12;9;9
B;10;8;10;15;16;11;11;13;3;3
B;4;11;8;22;10;17;7;14;3;4
A;12;19;13;15;11;12;5;5;5;3
B;8;7;6;17;15;9;13;9;11;5
B;5;10;12;8;15;19;9;14;4;4
A;10;14;21;18;13;10;7;6;1;0
B;9;7;11;18;17;8;10;11;5;4
A;11;13;19;23;9;9;12;2;1;1
A;17;18;13;19;8;8;11;2;3;1
C;4;6;11;12;13;8;10;13;12;11
A;12;16;17;12;16;13;6;5;2;1
C;3;4;10;13;15;12;9;9;11;14
C;3;5;6;10;6;17;18;12;13;10
C;2;2;9;13;7;15;14;15;16;7
B;6;9;9;9;21;12;11;14;4;5
A;17;15;16;11;16;10;9;3;1;2
B;5;13;6;13;20;14;11;8;8;2
B;9;9;9;12;20;11;10;9;5;6
C;3;7;2;16;12;12;10;19;13;6
A;7;17;15;13;13;15;6;9;3;2
C;3;5;2;6;15;16;13;22;7;11
C;1;5;9;9;11;17;15;13;14;6
A;13;16;12;24;11;10;8;3;3;0
A;17;14;17;16;18;8;3;4;2;1
A;10;15;11;15;19;11;9;5;3;2
C;1;4;7;15;6;19;18;14;12;4
B;7;7;12;14;6;19;14;14;5;2
C;2;8;5;6;13;17;16;11;9;13
A;13;12;20;19;14;6;8;5;2;1
C;3;3;10;9;15;15;14;9;15;7
B;10;10;9;12;7;13;16;10;11;2
C;5;2;8;12;12;14;16;12;10;9
A;16;10;14;16;13;16;5;7;3;0
B;5;4;11;12;15;14;12;14;8;5
B;6;6;12;8;21;16;6;11;5;9
C;2;5;4;8;16;15;12;14;10;14
A;12;23;12;21;17;3;8;0;2;2
A;17;17;17;13;13;10;6;4;2;1
B;12;5;16;10;8;19;3;16;6;5
A;13;16;18;12;11;14;8;3;4;1
A;18;11;10;15;15;12;11;6;1;1
C;3;1;7;8;7;12;15;19;21;7
C;3;4;7;11;13;9;14;17;16;6
A;13;17;14;12;15;13;7;3;5;1
C;2;3;5;4;17;17;15;17;10;10
C;4;2;15;9;14;14;14;10;10;8
B;5;12;13;16;13;9;14;8;7;3
C;2;5;7;6;11;17;10;13;25;4
C;0;4;7;12;11;15;14;18;14;5
B;6;9;12;19;15;10;11;8;7;3
C;2;5;9;9;11;13;18;11;11;11
B;6;9;18;13;9;10;12;11;9;3
C;4;4;5;11;10;14;12;14;13;13
A;12;15;19;16;10;11;7;6;3;1
B;10;11;13;15;11;11;11;5;7;6
B;11;10;11;12;13;11;9;9;9;5
A;15;10;20;14;16;9;10;2;3;1
A;12;14;15;11;14;10;14;7;1;2
B;5;8;13;13;9;20;9;12;7;4
C;3;5;6;10;9;16;13;16;10;12
A;13;16;10;19;13;13;5;7;3;1
B;7;5;14;17;19;10;10;5;10;3
B;4;8;16;17;12;12;14;9;5;3
C;2;5;6;10;8;21;14;12;11;11
B;7;13;10;13;14;11;12;11;8;1
A;14;15;21;15;9;11;4;5;3;3
B;6;9;16;12;13;16;12;9;1;6
C;1;1;11;9;13;12;20;15;13;5
C;1;3;9;7;12;24;11;17;5;11
C;1;9;1;11;10;20;10;18;12;8
B;6;9;11;11;14;15;13;13;6;2
B;7;13;10;15;9;9;12;10;8;7
A;6;19;26;8;12;12;11;4;0;2
A;11;20;19;17;10;7;6;6;4;0
A;16;17;15;11;12;14;5;6;4;0
B;8;7;8;9;12;16;9;16;7;8
B;4;10;14;11;16;16;13;2;10;4
B;10;11;5;14;11;16;10;8;9;6
A;14;10;14;18;20;10;2;8;2;2
B;6;16;14;11;10;12;12;10;6;3
A;13;7;24;17;16;8;5;8;1;1
C;2;6;5;8;17;14;13;11;12;12
A;14;11;10;21;17;8;8;8;2;1
A;11;18;19;9;15;10;6;6;5;1
C;0;3;6;10;16;10;18;15;14;8
C;4;7;8;8;6;13;17;18;13;6
A;15;20;11;18;13;12;6;3;2;0
C;1;4;5;18;9;15;13;16;8;11
B;3;9;17;17;13;15;8;10;2;6
C;4;9;6;9;12;11;21;11;11;6
C;0;4;10;5;14;9;21;14;12;11
B;3;11;13;16;15;12;17;6;3;4
C;0;7;5;7;13;11;8;16;13;20
C;4;11;6;10;10;10;12;13;14;10
B;5;7;5;15;23;11;9;9;11;5
B;7;6;12;13;14;17;6;9;11;5
B;7;7;20;13;13;13;15;5;5;2
B;5;7;11;14;16;15;14;12;3;3
B;5;5;12;15;21;15;11;6;5;5
C;4;3;7;13;10;16;8;17;15;7
A;16;16;22;13;13;11;1;4;3;1
A;12;15;13;18;12;14;5;7;3;1
B;9;13;7;16;15;13;7;11;5;4
C;0;5;4;11;18;14;21;11;7;9
B;6;8;15;7;19;13;14;9;8;1
A;8;14;16;16;20;6;10;8;2;0
A;9;17;20;17;15;7;6;3;2;4
A;9;18;17;12;13;8;11;4;7;1
A;17;21;15;16;15;7;5;4;0;0
B;6;5;14;17;20;11;9;6;6;6
C;1;4;10;8;9;10;13;20;14;11
B;5;9;15;13;9;11;14;8;9;7
B;3;7;13;16;17;14;11;7;8;4
B;1;7;16;13;9;10;23;8;8;5
A;11;20;15;15;17;9;6;4;2;1
A;17;12;9;9;18;18;10;3;3;1
B;5;8;12;9;17;16;13;8;7;5
A;18;13;17;12;16;7;8;7;2;0
C;2;4;9;5;10;15;17;15;14;9
B;8;12;9;17;15;15;13;3;7;1
A;9;20;24;11;13;9;6;3;2;3
A;7;24;18;18;12;5;9;3;1;3
C;3;3;8;12;14;8;16;13;14;9
C;4;5;3;9;13;11;8;26;11;10
B;7;11;14;10;11;14;7;12;10;4
B;9;10;13;16;10;12;13;10;7;0
A;8;26;11;18;12;7;6;8;3;1
A;18;23;8;14;14;7;8;3;2;3
B;8;8;12;15;13;8;12;15;8;1
A;13;19;20;7;20;9;6;3;2;1
C;4;5;5;9;9;11;15;18;13;11
C;3;4;4;9;13;18;15;17;8;9
C;1;3;9;10;16;14;10;16;13;8
A;14;15;9;16;11;11;8;8;8;0
A;11;13;16;17;16;8;7;4;7;1
A;11;13;19;20;16;11;3;3;4;0
A;19;19;16;12;8;10;5;7;2;2
C;1;1;10;10;11;17;18;11;10;11
B;3;4;13;21;12;11;12;10;8;6
C;4;1;6;14;7;18;21;12;6;11
C;0;1;6;12;15;14;19;12;12;9
B;4;11;9;12;18;16;12;10;5;3
B;6;12;9;9;14;14;10;9;8;9
B;6;9;17;14;12;13;7;12;5;5
A;13;21;12;13;19;2;7;8;3;2
A;13;16;16;14;14;18;5;2;1;1
A;12;10;18;18;12;12;6;5;4;3
A;19;15;11;18;12;7;4;6;6;2
C;1;5;8;10;16;13;9;12;12;14
C;4;3;8;13;13;12;10;18;12;7
C;3;4;6;12;14;18;14;13;7;9
B;7;7;14;11;15;16;8;13;4;5
B;3;8;13;22;13;14;14;7;3;3
B;3;6;11;15;17;18;14;7;5;4
C;1;6;2;11;16;12;14;17;13;8
C;3;6;6;6;12;10;22;15;9;11
A;12;14;19;10;16;9;7;7;4;2
A;18;15;14;18;8;10;10;3;4;0
C;6;8;10;12;10;10;15;8;12;9
B;8;12;14;21;14;8;8;6;6;3
C;3;5;3;3;11;15;16;21;12;11
B;8;9;15;15;10;12;13;8;4;6
C;2;7;4;4;9;9;22;16;14;13
A;15;14;13;20;13;9;9;4;1;2
C;4;2;7;6;11;10;16;15;17;12
B;5;11;17;15;9;11;14;6;7;5
B;10;7;13;17;19;10;7;10;4;3
B;4;12;13;9;18;16;12;5;7;4
C;4;3;5;16;12;16;15;15;9;5
A;12;23;14;15;12;14;5;2;2;1
A;14;10;11;15;18;11;12;6;2;1
B;5;12;10;11;19;9;11;12;8;3
B;9;8;11;14;15;15;10;11;6;1
B;4;10;9;15;21;10;9;9;4;9
B;9;5;13;13;8;17;12;10;7;6
C;1;1;12;8;19;11;11;19;10;8
A;16;21;15;18;10;7;7;4;2;0
C;5;1;7;8;10;18;17;13;15;6
B;7;8;11;17;8;12;16;6;12;3
C;1;0;4;13;11;22;16;12;9;12
B;5;10;10;11;18;13;13;6;11;3
C;3;7;11;8;14;14;16;9;14;4
C;4;8;5;7;10;16;18;16;5;11
C;0;4;6;9;15;13;23;14;10;6
A;13;14;14;24;11;10;5;8;1;0
B;10;6;9;11;23;11;11;14;5;0
A;16;8;20;14;8;11;9;8;3;3
B;8;5;9;11;24;14;7;11;5;6
B;9;6;9;15;13;15;13;11;5;4
C;3;5;4;20;12;11;16;14;9;6
A;7;15;21;14;13;8;12;7;2;1
C;2;5;10;7;9;8;14;18;13;14
B;8;8;10;14;13;13;15;4;8;7
A;13;12;21;14;7;15;8;8;1;1
B;4;7;11;17;17;15;12;6;8;3
A;7;14;18;13;13;18;9;3;4;1
C;3;5;7;13;10;17;8;15;11;11
B;9;5;13;22;14;10;5;13;6;3
B;10;10;8;8;18;20;12;6;7;1
A;8;11;21;18;17;15;6;3;0;1
B;8;10;3;18;14;21;11;7;6;2
B;5;8;13;18;17;13;11;9;3;3
A;13;15;13;12;23;8;8;4;4;0
C;3;3;4;12;13;16;18;10;12;9
A;18;7;14;16;15;11;12;5;2;0
B;10;6;10;10;14;12;17;9;6;6
A;9;12;25;15;15;12;4;3;2;3
A;25;15;15;14;14;9;1;5;2;0
A;15;19;14;18;7;11;7;5;4;0
A;11;16;17;14;13;9;12;2;5;1
A;12;24;11;15;9;9;6;8;4;2
A;5;17;16;16;19;8;8;7;2;2
B;9;7;10;11;15;14;12;11;7;4
C;0;6;8;11;11;17;12;13;13;9
B;3;4;15;15;16;11;14;11;7;4
A;16;16;13;16;12;11;9;5;1;1
B;8;10;10;10;20;16;13;4;5;4
B;2;14;9;12;12;6;19;14;8;4
C;0;6;8;15;12;13;8;16;14;8
B;5;4;15;14;10;20;10;9;8;5
A;11;13;14;19;13;11;6;6;1;6
B;11;11;7;9;12;15;16;5;6;8
A;10;20;11;20;14;8;10;3;3;1
A;12;15;15;17;11;14;9;2;3;2
C;0;2;6;5;17;17;21;13;9;10
A;16;18;17;13;13;7;7;9;0;0
B;4;13;13;8;16;13;14;8;7;4
C;7;5;3;9;21;14;12;7;10;12
B;5;7;10;15;15;15;15;12;2;4
C;5;2;8;7;9;20;18;13;12;6
B;7;10;11;13;12;9;19;10;4;5
B;6;9;12;12;13;15;12;8;11;2
B;5;12;12;12;14;8;15;10;4;8
C;6;3;5;5;16;15;15;15;12;8
C;2;8;6;15;14;10;11;12;15;7
A;15;12;16;24;10;11;5;4;2;1
C;5;5;1;7;7;15;12;21;17;10
C;2;3;4;8;7;13;14;20;18;11
C;0;5;11;10;8;15;18;14;9;10
B;5;11;9;13;20;10;9;10;7;6
B;8;4;10;9;16;17;10;11;7;8
B;6;9;16;12;13;10;13;11;4;6
A;9;16;21;17;6;13;6;6;5;1
A;9;10;18;13;16;16;10;3;2;3
C;2;6;6;10;9;15;17;12;16;7
B;3;8;8;9;15;20;12;12;8;5
C;1;7;7;9;15;12;22;10;5;12
A;15;19;12;9;10;14;5;12;3;1
B;5;13;8;15;16;16;9;8;5;5
A;14;16;18;16;13;10;4;6;2;1
A;13;12;21;8;12;13;12;6;0;3
A;17;15;15;16;8;7;14;5;2;1
B;8;9;10;16;13;11;16;7;8;2
C;2;5;5;11;11;14;18;15;10;9
A;10;18;12;18;11;13;10;5;2;1
A;16;17;17;10;13;12;5;4;5;1
C;0;3;14;8;7;8;19;18;12;11
A;18;16;12;12;11;11;14;3;2;1
B;6;12;13;11;12;13;16;6;8;3
A;10;12;18;16;12;12;8;6;4;2
A;16;13;12;13;23;13;3;4;2;1
B;5;10;10;15;17;12;12;9;6;4
B;6;9;9;14;18;10;11;15;6;2
A;15;15;18;17;17;7;6;3;2;0
C;3;2;5;9;9;11;12;17;15;17
C;2;2;8;11;10;13;16;15;11;12
B;8;10;10;13;19;13;7;13;5;2
B;4;11;15;13;18;10;15;8;5;1
C;3;2;9;15;11;18;9;10;12;11
B;7;13;11;13;12;16;9;9;7;3
A;14;16;15;17;13;9;11;4;0;1
B;7;10;12;9;11;16;11;11;10;3
C;0;5;8;7;14;7;17;25;11;6
B;9;14;12;11;12;17;10;4;6;5
C;0;3;5;10;12;9;20;16;14;11
A;20;8;14;15;12;12;5;6;8;0
B;6;13;16;10;13;11;12;6;9;4
B;4;12;3;18;19;8;9;8;11;8
A;14;10;17;19;8;5;13;6;6;2
B;5;10;14;11;14;16;14;9;5;2
C;2;0;12;11;10;17;14;15;12;7
C;3;5;8;10;10;13;14;12;13;12
C;1;1;8;12;16;12;14;14;11;11
B;8;5;12;14;9;15;15;8;9;5
B;6;8;9;18;12;15;10;15;7;0
A;15;14;13;17;13;11;9;5;2;1
B;11;8;16;13;8;14;6;14;7;3
B;11;9;8;10;21;8;19;6;5;3
C;5;1;6;9;11;18;11;16;16;7
C;1;5;10;7;11;10;13;12;18;13
B;6;14;12;7;11;15;18;9;4;4
B;5;9;13;12;11;18;15;9;6;2
C;2;2;11;10;13;8;13;18;15;8
C;2;2;1;12;14;15;17;9;21;7
C;2;1;5;8;12;21;20;10;11;10
A;10;15;22;14;15;11;5;6;2;0
C;4;7;9;14;10;13;10;10;12;11
B;10;11;14;8;14;6;16;8;8;5
B;6;10;18;17;9;7;13;10;8;2
B;10;6;17;12;15;13;13;4;6;4
A;15;21;15;15;11;8;11;2;2;0
A;12;9;23;17;17;7;7;5;3;0
B;9;4;11;21;13;12;13;11;3;3
C;1;8;5;9;13;20;16;12;9;7
B;11;6;10;16;8;9;17;7;13;3
C;3;3;7;9;11;16;16;13;12;10
A;13;9;19;22;15;9;8;3;2;0
C;2;8;8;5;9;16;13;15;13;11
B;7;10;11;11;11;12;14;12;5;7
B;5;7;12;14;19;9;11;11;7;5
C;2;8;7;6;21;11;12;10;11;12
C;2;2;9;9;13;10;17;16;12;10
B;15;4;14;9;18;11;13;9;2;5
A;12;18;22;11;11;10;7;4;3;2
B;6;9;21;7;21;10;4;12;7;3
B;8;9;15;12;17;11;6;10;9;3
C;3;4;9;8;11;18;14;15;11;7
A;14;16;22;17;13;7;6;2;2;1
B;4;9;13;17;11;13;12;10;9;2
A;8;15;21;9;12;13;11;4;6;1
A;15;13;17;16;14;10;7;5;3;0
A;17;19;15;10;15;13;7;4;0;0
B;8;9;13;7;11;20;5;12;12;3
C;2;3;7;10;14;10;12;19;16;7
B;5;10;16;14;12;8;17;8;4;6
A;15;14;18;14;9;9;11;5;0;5
C;5;3;3;7;17;19;15;11;15;5
A;13;25;16;9;12;13;2;4;5;1
B;7;10;13;13;17;9;10;9;8;4
B;8;17;6;8;9;16;15;10;7;4
C;2;4;5;11;14;19;9;13;11;12
B;9;6;16;10;17;15;10;10;6;1
C;4;2;6;9;9;16;17;15;14;8
B;12;9;10;7;19;11;9;10;7;6
B;5;5;13;20;16;12;7;13;6;3
B;7;7;11;9;21;15;9;9;8;4
C;3;5;11;8;13;13;12;6;16;13
C;1;4;5;11;10;12;19;14;12;12
A;12;15;12;14;12;15;11;2;5;2
A;14;18;21;12;15;5;7;7;1;0
C;4;7;3;13;11;15;10;16;13;8
C;1;2;6;12;19;14;15;11;12;8
C;5;3;6;6;11;9;18;20;14;8
C;2;4;13;7;18;13;11;11;15;6
C;4;6;5;7;13;12;16;17;12;8
C;3;3;7;7;9;13;17;14;17;10
C;3;5;7;7;9;13;20;20;8;8
A;11;17;19;20;11;8;12;1;1;0
B;7;8;7;18;17;10;4;12;10;7
C;3;4;7;9;9;14;20;12;11;11
B;7;11;12;17;11;11;15;7;6;3
A;16;16;17;15;15;7;5;7;1;1
C;1;1;4;11;14;15;16;16;14;8
C;1;5;2;10;21;16;8;12;16;9
A;14;16;17;10;13;14;6;5;0;5
A;19;19;11;9;12;12;7;7;3;1
C;4;3;10;7;13;16;15;11;9;12
C;1;6;9;12;12;12;17;7;12;12
B;6;6;11;18;17;14;11;11;6;0
B;7;8;9;15;23;13;10;6;7;2
C;1;5;5;10;9;8;17;19;17;9
C;1;3;5;10;10;17;14;16;18;6
B;10;13;15;13;7;11;12;10;6;3
B;3;7;13;11;12;18;9;9;12;6
A;8;18;21;19;14;8;5;2;3;2
C;1;1;5;6;17;17;11;15;13;14
B;8;3;12;12;19;17;6;5;13;5
A;15;17;13;11;10;9;10;9;4;2
A;19;6;14;15;14;12;11;7;1;1
C;1;5;9;11;18;13;11;19;8;5
A;12;17;13;16;15;8;10;3;5;1
A;10;14;22;15;10;9;8;6;4;2
C;3;2;9;10;17;10;15;17;11;6
C;1;8;5;10;12;14;15;13;12;10
B;9;9;10;13;16;11;13;9;4;6
A;13;18;13;18;10;10;8;5;4;1
C;0;7;7;12;8;13;16;11;19;7
A;19;20;18;3;16;10;5;5;2;2
B;7;11;10;14;14;16;10;4;10;4
A;11;19;14;16;12;10;9;4;4;1
A;18;22;11;11;8;9;10;5;6;0
B;7;9;6;12;15;14;9;8;14;6
A;12;16;18;11;18;5;8;5;6;1
A;13;14;13;17;16;6;13;3;3;2
C;2;3;5;15;14;11;13;16;15;6
C;2;6;5;10;15;12;11;15;14;10
C;2;4;4;5;17;16;15;16;15;6
A;14;16;14;16;11;12;10;4;2;1
A;16;5;15;25;8;19;4;5;1;2
A;14;16;14;20;14;10;4;1;4;3
A;14;17;12;13;8;18;11;6;1;0
C;4;5;4;5;16;14;13;9;15;15
A;12;12;20;13;15;15;5;4;3;1
C;3;6;10;9;11;15;15;15;11;5
B;2;10;8;13;13;21;17;4;7;5
B;6;6;18;8;18;20;14;3;6;1
A;8;11;22;17;15;13;4;4;5;1
C;3;2;10;4;12;19;18;8;11;13
B;9;3;16;15;13;10;14;8;5;7
C;7;5;3;15;12;13;12;15;12;6
C;3;1;10;11;12;13;14;19;13;4
B;1;3;13;18;13;19;12;14;5;2
A;12;11;17;15;17;12;9;3;2;2
B;9;14;16;10;14;9;10;11;5;2
B;12;5;8;10;15;12;15;7;10;6
A;16;10;16;12;21;12;9;2;2;0
C;5;3;3;9;16;13;12;16;10;13
A;12;16;9;21;17;4;12;5;3;1
B;12;5;17;9;17;10;14;10;6;0
B;9;8;10;11;22;13;10;11;3;3
A;18;14;13;17;17;8;9;3;0;1
A;11;18;15;20;14;11;5;3;3;0
A;15;14;18;16;14;4;6;9;4;0
C;1;3;9;14;12;14;8;24;11;4
B;4;10;16;9;7;16;12;10;9;7
A;7;14;10;19;12;13;12;3;5;5
A;11;14;20;17;17;8;8;2;2;1
B;5;10;17;16;16;16;9;3;5;3
C;2;4;4;10;14;18;19;9;13;7
A;12;14;7;18;15;13;6;8;5;2
A;12;16;16;17;12;13;5;3;6;0
C;0;7;7;8;14;10;13;13;16;12
B;9;8;14;12;12;10;12;3;11;9
A;14;15;19;13;16;8;8;3;2;2
A;17;21;12;11;15;10;6;4;4;0
B;5;5;11;14;15;17;12;7;6;8
C;1;1;11;7;12;20;12;16;10;10
C;1;5;6;4;9;10;16;17;15;17
B;8;7;8;14;15;12;14;9;10;3
A;11;16;22;20;8;12;8;2;0;1
C;0;8;7;11;13;12;14;17;8;10
A;10;22;10;14;11;13;5;6;7;2
A;15;20;14;15;10;12;7;0;5;2
A;8;21;21;12;14;11;8;4;1;0
B;5;14;11;17;13;10;10;11;7;2
C;1;5;3;8;10;16;21;15;11;10
B;9;10;17;12;14;13;8;8;6;3
C;2;4;4;11;8;17;15;15;15;9
B;6;5;13;13;13;14;16;7;5;8
B;8;11;15;13;8;14;8;14;8;1
C;1;4;8;8;14;9;14;20;12;10
C;4;3;10;4;12;14;17;17;10;9
C;4;9;6;7;12;14;18;14;9;7
C;1;7;3;10;11;9;14;19;16;10
C;1;9;10;8;11;18;5;20;12;6
A;13;14;20;20;10;8;7;5;2;1
B;8;8;13;11;17;6;10;12;4;11
A;12;13;17;13;15;10;11;2;5;2
B;5;15;11;15;11;14;7;12;6;4
C;4;5;10;8;10;17;13;10;13;10
B;5;9;15;16;11;14;12;9;7;2
B;8;9;13;14;18;9;9;6;9;5
A;16;17;13;22;14;6;5;4;3;0
A;13;17;24;11;12;10;6;3;3;1
B;7;8;12;16;14;9;5;13;8;8
A;18;17;17;13;17;9;3;3;2;1
A;17;15;15;10;22;9;7;1;3;1
A;11;18;19;13;10;11;10;4;2;2
B;4;6;14;12;13;17;19;6;6;3
A;12;13;22;16;8;14;9;4;2;0
C;4;5;4;10;11;17;17;13;11;8
B;1;10;17;9;14;17;9;14;5;4
B;8;6;14;15;8;19;14;11;5;0
B;5;12;9;14;19;14;6;8;8;5
C;1;5;4;10;15;11;16;12;17;9
B;2;14;11;10;14;11;19;8;8;3
C;1;6;6;10;8;19;16;14;12;8
A;16;16;14;10;11;13;10;6;3;1
B;5;7;11;12;20;11;11;10;7;6
C;1;4;7;15;13;10;22;8;12;8
B;8;15;11;13;10;17;8;10;5;3
A;12;13;12;18;18;7;5;7;6;2
C;1;3;6;6;16;14;19;16;12;7
A;7;21;25;12;11;13;4;3;3;1
B;6;13;9;11;10;10;21;8;9;3
C;4;1;6;11;11;20;10;15;12;10
C;1;6;7;12;11;14;9;15;15;10
C;2;4;7;6;13;14;14;13;19;8
C;0;8;7;6;13;17;22;11;9;7
B;7;5;13;10;13;11;16;10;9;6
B;2;15;11;12;8;15;15;10;8;4
B;7;11;13;19;18;8;8;6;5;5
C;3;1;7;7;13;15;9;15;13;17
A;15;22;19;12;14;5;4;3;6;0
C;5;5;5;10;8;13;18;16;9;11
B;5;7;10;18;20;16;6;9;7;2
A;17;20;15;15;12;5;5;5;2;4
B;6;9;10;13;21;8;11;13;7;2
B;7;6;11;12;17;18;11;8;10;0
C;2;4;13;9;13;17;10;14;7;11
A;15;13;18;14;12;7;10;4;5;2
C;3;4;6;11;9;11;16;15;15;10
C;2;4;5;12;14;14;13;17;13;6
B;10;7;15;10;15;11;10;11;5;6
C;8;4;6;6;13;15;11;9;15;13
B;6;5;14;16;11;14;17;6;7;4
C;2;3;11;6;10;17;14;18;13;6
B;8;8;14;8;18;11;14;3;10;6
C;0;4;9;10;15;15;17;15;11;4
B;10;10;4;7;17;15;15;10;8;4
B;13;10;10;10;17;7;7;15;8;3
C;4;3;5;8;13;14;15;18;9;11
A;16;19;14;16;13;9;4;5;2;2
A;11;17;16;13;9;15;10;5;3;1
B;8;8;10;19;12;16;9;9;7;2
A;12;13;22;13;15;12;4;7;1;1
C;0;3;12;5;15;11;16;16;15;7
B;6;8;9;12;14;17;9;14;9;2
A;11;19;18;17;11;10;10;1;3;0
A;17;13;18;15;11;13;9;2;1;1
B;5;13;9;9;11;13;21;13;5;1
B;5;11;7;19;12;15;16;6;6;3
C;3;5;6;11;8;13;17;15;11;11
C;2;6;5;6;15;16;15;14;15;6
A;15;12;15;17;16;7;3;11;3;1
B;2;9;10;13;11;20;12;12;6;5
